f'{Freq[0]:.8f},{Freq[1]:.8f},{Gnm[0]:.8f},{Gnm[1]:.8f},{pM[0]:.8f},{pM[1]:.8f},{FreqF:.8f},{LTP:.8E}\n'
0.06000000,0.13166200,45.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65117312E+03
0.06000000,0.13166200,44.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65117650E+03
0.06000000,0.13166200,44.61355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65117223E+03
0.06000000,0.13166200,44.41355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65117331E+03
0.06000000,0.13166200,44.91355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65117215E+03
0.06000000,0.13166200,44.91355000,41.38697000,0.00000000,0.00000000,0.00000000,-3.65137583E+03
0.06000000,0.13166200,44.91355000,44.38697000,0.00000000,0.00000000,0.00000000,-3.65118286E+03
0.06000000,0.13166200,44.91355000,46.38697000,0.00000000,0.00000000,0.00000000,-3.65140263E+03
0.06000000,0.13166200,44.91355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65126133E+03
0.06000000,0.13166200,44.91355000,42.88697000,0.00000000,0.00000000,0.00000000,-3.65119386E+03
0.06000000,0.13166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.65116871E+03
0.05000000,0.14166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64894918E+03
0.04500000,0.14666200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64836861E+03
0.04000000,0.15166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64813394E+03
0.03500000,0.15666200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64836055E+03
=======================================================
0.04000000,0.15166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64813394E+03
0.04000000,0.14166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.65035940E+03
0.04000000,0.16166200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.65138563E+03
0.04000000,0.15066200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64810554E+03
0.04000000,0.14966200,44.91355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64813214E+03
0.04000000,0.15066200,44.81355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64810993E+03
0.04000000,0.15066200,45.01355000,43.88697000,0.00000000,0.00000000,0.00000000,-3.64810129E+03
